date,code,close,high,low,open,p_change,turnover,volume,t_volue
2012/6/4,'002230,24.26,25.87,23.8,24.2,0,2.3179,8764316,9173091152
2012/6/5,'002230,25.08,25.42,24.6,24.65,3.38,1.6516,6245064,9483146170
2012/6/6,'002230,24.35,25.09,24.22,25.09,-2.9107,0.8678,3281353,9207121581
2012/6/7,'002230,23.63,24.89,23.5,24.5,-2.9569,0.9183,3472388,8934878150
2012/6/8,'002230,23.95,24.19,23.62,23.9,1.3542,0.6174,2334505,9055875230
2012/6/11,'002230,24.34,24.63,23,23.82,1.6284,0.819,3096892,9203340422
2012/6/12,'002230,23.2,24.42,23.1,23.94,-4.6836,0.9736,3681279,8772288323
2012/6/13,'002230,23.73,23.91,23.24,23.26,2.2845,0.697,2635647,8972689737
2012/6/14,'002230,22.92,23.99,22.8,23.56,-3.4134,0.976,3690371,8666415878
2012/6/15,'002230,22.57,23.23,22.1,23,-1.5271,0.8315,3144136,8534075321
2012/6/18,'002230,22.7,22.9,22.54,22.57,0.576,0.6332,2394074,8583230385
2012/6/19,'002230,23.1,23.34,22.52,22.7,1.7621,0.9572,3619268,8734476736
2012/6/20,'002230,23.16,23.2,22.76,23.2,0.2597,0.3717,1405461,8757163688
2012/6/21,'002230,22.6,23.18,22.47,23,-2.418,0.424,1603289,8545418798
2012/6/25,'002230,22.01,22.8,21.96,22.39,-2.6106,0.5329,2014891,8322330431
2012/6/26,'002230,21.88,22.13,21.87,22.01,-0.5906,0.3157,1193728,8273175367
2012/6/27,'002230,22.13,22.32,21.6,21.88,1.1426,0.4764,1801466,8367704336
2012/6/28,'002230,20.87,22.25,20.6,22.13,-5.6936,0.5384,2035685,7891278332
2012/6/29,'002230,19.7,20.81,18.78,20.8,-5.6061,2.5933,9805801,7448882757
2012/7/2,'002230,20.15,20.58,19.48,19.48,2.2843,1.141,4314117,7619034901
2012/7/3,'002230,22.17,22.17,20.54,20.55,10.0248,2.7602,10436807,8382828971
2012/7/4,'002230,22.5,23.24,22,22.5,1.4885,2.2477,8498999,8507607210
2012/7/5,'002230,22.29,22.89,22,22.3,-0.9333,1.0795,4081678,8428202876
2012/7/6,'002230,22.97,22.98,21.53,22.32,3.0507,1.4053,5313777,8685321672
